pid,theta_u
1,-1.6704619656509678
2,-0.36983830655300226
3,0.7503603958200626
4,0.06956797348958013
5,-0.6442420299693143
7,1.2118609417143567
8,0.4445930891811936
9,2.986372143495312
10,0.7446799209396066
11,0.5488904280938626
12,-0.33178618083958633
13,0.8291972906056273
14,-1.1171889927239127
15,0.13206406871864346
16,-0.09878301229003009
17,0.62366106356566
18,0.41665413851068717
19,0.18912934994367941
20,1.2912883916340063
21,1.6066412152965324
22,1.519618567133377
24,0.9279781133136377
25,0.4913993236707599
26,0.906919689866134
27,0.48959222383951345
28,0.9939946313937631
29,-0.07329485810151885
30,0.2794820978441494
31,1.5361827524470424
33,0.9215693846859561
34,0.8064250457497202
35,0.06713539426324226
36,0.1399180871502736
37,-0.8755430003000485
38,0.06826000858584164
39,0.22797594931847345
40,0.3552123567044495
41,-1.1466232830636254
42,1.6828112155745658
43,-0.32193917000913136
44,-1.3901915830059175
45,-0.763926763233965
46,-1.0076816588035384
47,-0.6675196770253674
48,0.45906305636656874
49,1.1128999773030523
50,-0.2714823198356352
51,-2.4738038517610264
52,-1.3604376990706994
53,0.4530512170852865
54,-1.1156776241587731
55,-0.08231796330139572
56,-1.2443327560566348
57,-0.116987452680201
58,-0.28222239946768857
59,-0.19910179849311993
60,-0.44109532454609945
61,-1.4609529369376892
62,1.0166415286347283
63,-0.2347412996914679
64,0.8577758110491073
65,0.1108509493911214
66,0.5609557315175353
67,-0.30391998394283914
68,-0.0629673747586643
69,-0.7324575588242366
70,0.037838643433477766
71,0.25313589052883423
72,-1.207019684485558
73,0.2740889116936332
74,0.7397665105566029
75,1.7100028457964396
76,-0.02246867711454942
77,-0.3074183292970348
78,-1.6650413604817649
79,-0.41034626690485515
80,0.6632304263482215
81,-0.22929891642922806
82,-2.299230103761831
83,-0.305461459394488
84,-0.07309900891954009
85,0.07017250407515531
86,1.4073659615801886
87,0.5719362708297182
88,-0.8175783426749954
89,-0.10972173459591635
90,-0.8494331352772682
91,0.4937544560357682
92,-0.1019290386356292
93,0.23084113289275043
94,-0.47946650784173417
95,-1.7317012256107438
96,0.09405028388159223
97,0.3813946760506333
98,1.297714198145855
99,0.14930034851534535
101,-0.32709651440680715
102,1.665939111422262
103,-0.197987211117725
105,-0.5189321247741505
106,0.012164832143071258
107,-0.078272079203986
108,-0.6675024695419979
109,-1.1086323251906574
110,0.04108580842624355
111,-1.5872349165265642
112,-0.40479825276924475
113,-0.3828582716220849
114,-0.031051742709623055
115,0.14965418324912558
116,-0.4392129318142094
117,-0.19885438213237047
118,0.18806798437717262
119,-0.11910443863590729
120,-0.6936836899012335
121,0.03876331616220776
122,1.8061391812058123
123,0.10985822198907719
124,0.24351706711196852
125,-0.557103561620858
126,-0.40451069564716685
127,-0.6883379457133433
128,-0.13880370671023534
129,0.73152222230022
130,-0.1468601392789653
131,1.0218929527366976
132,0.04372635287660807
133,-0.8596980010586075
134,0.019878488286719665
135,-0.8684382797340563
136,-0.7755975400811264
137,-0.34641293568292997
138,1.7959406211633335
139,0.873828648412412
140,-1.1242608022123817
141,-0.09709982650840472
142,1.1209560024239038
143,0.4876739577736119
144,-0.07532584451701613
145,-1.792252108209999
146,-1.1053447453730487
147,-0.19174515331740474
148,1.0467055596528325
149,1.3792780921773662
150,-0.5396785870609998
151,0.87060024699955
152,-0.8128400324052383
153,0.5777163261098887
154,-2.342093017198334
155,-1.0592816962097151
156,-1.1215710715187663
157,-1.5825107253109547
158,0.20477189885775932
159,-0.9645534144872919
160,-1.0193205823024793
161,-0.1203129089315504
162,-1.2944124258161576
163,-1.2916733214591987
164,0.4437617197219612
165,0.4435390349337605
166,1.0928430913409266
167,1.0475499951668588
168,-1.1762185829166003
169,0.0055763728638838495
171,1.4889975942811131
172,0.744273976633178
173,-1.0877105968328429
174,0.49652618739390697
